,cityName,cloudCover,humidity,lat,lng,temp,windSpeed
94,carlibaba,86.0,88.0,47.650861946337386,25.155343200307783,35.01,3.24
95,koulikoro,20.0,94.0,12.535705982749121,-6.6431715199131816,73.4,2.24
97,kaura namoda,20.0,79.0,12.669703790660648,5.847443624563368,75.38,7.09
98,ulagan,0.0,59.0,51.33638267410376,88.40445367975167,43.21,3.6
99,lorengau,28.0,77.0,-3.1179132489709644,146.07314125101772,83.8,8.23
100,derzhavinsk,0.0,37.0,49.89085827214626,67.23374561771217,49.21,9.64
101,batagay,94.0,42.0,66.42806710675009,137.64511873240167,23.95,0.6
102,tezu,93.0,73.0,29.453921188681008,97.73443995686227,78.85,1.92
103,escanaba,1.0,66.0,45.4780596216967,-87.32079720510336,52.48,8.05
104,lompoc,1.0,37.0,24.67703167175091,-129.32269667407445,65.59,2.91
105,hasaki,75.0,73.0,28.683445174026502,152.72616800917592,73.76,8.05
106,esperance,75.0,100.0,-38.8374348347264,122.21923541160112,55.4,9.17
107,atuona,0.0,68.0,-13.92217669667805,-130.56765258157952,80.33,13.73
108,georgetown,20.0,94.0,-17.413146862890997,-22.522563626612566,80.2,4.7
109,turukhansk,26.0,78.0,62.72453390231911,86.65617863701766,34.54,16.06
110,rimini,100.0,72.0,44.29468627630908,12.681326423054315,60.08,6.93
111,port blair,20.0,79.0,12.747141833164648,92.65786806083986,84.2,2.24
112,tuktoyaktuk,90.0,93.0,79.16017270196193,-126.04634042476475,32.0,18.34
113,saldanha,9.0,50.0,-33.38230999807659,10.515317965765206,57.97,1.32
114,choix,0.0,85.0,26.717881151810744,-107.51421029744996,73.72,4.36
116,lavrentiya,63.0,90.0,67.39645935651771,-171.17104583501145,27.66,1.92
117,provideniya,90.0,80.0,51.37017767851208,-172.42187368701943,35.6,13.42
118,nouadhibou,0.0,82.0,21.64322545380149,-16.062877016868526,68.0,10.29
121,maragogi,14.0,94.0,-12.563072497373867,-31.11020344952547,68.79,2.37
122,namikupa,24.0,96.0,-10.828206907649971,39.636531974552355,68.31,0.65
123,cherskiy,15.0,79.0,66.2006791266831,158.97936832051215,19.54,3.51
124,pachino,67.0,87.0,35.5392796963539,16.419953646656325,57.42,2.24
125,butaritari,0.0,63.0,27.17956285027354,177.81067942313092,84.65,2.71
126,labuhan,100.0,49.0,-13.372403394439019,98.4661665064848,91.0,2.19
127,virginia beach,75.0,77.0,35.12480675748142,-70.68922899717776,69.87,4.7
128,teya,40.0,83.0,59.915532394238454,91.9708489889,83.23,4.7
129,talavera de la reina,96.0,50.0,39.33334960782042,-4.738848035398888,64.99,1.99
130,puerto ayora,8.0,95.0,-12.402583657720143,-111.18727369530885,66.0,1.01
131,billings,20.0,34.0,45.957483284293545,-108.40838184099735,49.5,12.75
132,senador jose porfirio,11.0,86.0,-2.801921980171471,-52.05410896741262,76.69,3.69
133,port alfred,100.0,93.0,-79.78895930468042,44.512259718881836,64.0,8.01
134,faanui,100.0,85.0,-8.56523486539838,-151.47713543099493,77.13,18.1
